station,date,time,kingdom,phylum,class,phyto_form,genus,taxon,organisms_per_ml,cells_per_ml,biovolume_per_ml
609,2020-08-12,08:21:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella meneghiniana,164.27473331938924,164.27473331938924,35325.940179274476
609,2020-08-12,08:21:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Diploneis,cf. Diploneis sp.,164.27473331938924,164.27473331938924,148368.94875295277
609,2020-08-12,08:21:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,164.27473331938924,164.27473331938924,34854.927643550815
609,2020-08-12,08:21:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,67024.09119431082,134048.18238862164,24128.67282995189
610,2020-08-12,07:13:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,153.32308443142998,153.32308443142998,846284.7548209971
610,2020-08-12,07:13:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,76.66154221571499,76.66154221571499,28053.54447385086
610,2020-08-12,07:13:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella meneghiniana,76.66154221571499,76.66154221571499,32286.77393936608
610,2020-08-12,07:13:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,153.32308443142998,153.32308443142998,510249.8722796487
610,2020-08-12,07:13:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia acicularis,76.66154221571499,76.66154221571499,26839.205929721815
610,2020-08-12,07:13:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Rhizosolenia,cf. Rhizosolenia sp.,153.32308443142998,153.32308443142998,1007319.7949112452
610,2020-08-12,07:13:00.000000,Plantae,Chlorophyta,Chlorophyceae,c,Scenedesmus,Scenedesmus sp.,76.66154221571499,153.32308443142998,2023.048729039531
610,2020-08-12,07:13:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,76.66154221571499,76.66154221571499,23954.703245336124
610,2020-08-12,07:13:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,76.66154221571499,2453.1693509028796,118695.15900236223
610,2020-08-12,07:13:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,29898.001464128844,59796.00292825769,10763.280527086385
605,2020-08-26,10:32:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Rhizosolenia,cf. Rhizosolenia sp.,127.76923702619163,127.76923702619163,486681.30043773545
605,2020-08-26,10:32:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,52640.92565479095,105281.8513095819,18950.733235724743
MON,2020-08-26,07:36:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,176.91125126703457,176.91125126703457,78657.13499376913
MON,2020-08-26,07:36:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,176.91125126703457,176.91125126703457,8440.948508870299
MON,2020-08-26,07:36:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,75364.19303975672,150728.38607951344,27131.10949431242
801,2020-08-24,13:41:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,431.2211749633968,143.74039165446558,73026.86602449138
801,2020-08-24,13:41:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia alpina,143.74039165446558,143.74039165446558,9409.820999267935
801,2020-08-24,13:41:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,5030.913707906296,5462.134882869692,243623.23480324153
801,2020-08-24,13:41:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,53615.166087115664,107230.33217423133,19301.459791361638
801,2020-08-24,13:41:00.000000,Protozoa,Dinozoa,Dinophyceae,i,Peridinium,Peridinium sp.,143.74039165446558,143.74039165446558,571838.6566520054
NZS42,2020-08-26,10:11:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,65.70989332775571,65.70989332775571,29215.507283399966
NZS42,2020-08-26,10:11:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,65.70989332775571,65.70989332775571,39733.08990542395
